id,gid,lg,na,bid,bna,bsl,stt,st,rat,rtxt,sri,rii,mna,dtim,avd,time_estimation,ac,adb,acr,acod,cav,mav,ism,isn,isd,dls,dch,dct,tch,mcc,mtyp,trc,ttyp,sl,an,aid,cus/0/id,cus/0/na,cus/0/sl,cus/1/id,cus/1/na,cus/1/sl,css,adc,att,amt,atbt,hsp,pdto,pri,act,pmsg,ttrev,trt,trts,des,iss,finalRank,dcl,smr,htd,htc,fm,inc,itg,ipt,ipos,gtl,Lon,Lat,ius,icr,iush,ust,usicon,uscom,uscomid,sha,shc,rgrl,ida,dtxt,otxt,mofs,mdis,ipa,ptxt,mpro,iccm,isVatInc,hrd,hasv,fids/0,fids/1,fids/2,fids/3,fids/4,fids/5,fids/6,fids/7,verticalType,verticals/0,mentyp,isub,isds,prtg,ctav,spd/cat,spd/type,spd/token,sldk,cld,tpvc,prom,ismgrtd,isfof,rnk/rtrk,rnk/orrk,rnk/acrk,rnk/frrk,rnk/rork,rnk/inrk,dhcvid,isTalabatPro,is_tpro,is_tstar,tstar_desc,sponsored_rank,cus/2/id,cus/2/na,cus/2/sl,cus/3/id,cus/3/na,cus/3/sl,fids/8,fids/9,fids/10,fids/11,fids/12,fids/13,fids/14,fids/15,verticals/1,ftgs/0,cus/4/id,cus/4/na,cus/4/sl,cus/5/id,cus/5/na,cus/5/sl,verticals/2,verticals/3,verticals/4,verticals/5
6,0,SO-GOOD-Eng-01_635804354982713968.jpg,KFC,5807,"KFC, Salmiya",kfc-salmiya,0,0,3.4,Good,true,1,2,60,Within 60 mins,60 - 70 mins,true,false,true,false,true,false,false,false,false,Open,0.5,0,0,0,0,0,0,kfc,,,310,Beverages,,15,Cafe,,"Beverages, Cafe",,,,,true,1,,02/25/2014 00:00:00,,0,801 ratings,801,,true,143,,,false,false,false,false,false,true,false,pre-img-03_636305266105183171.jpg,48.080212,29.33905,true,false,true,,https://images.deliveryhero.io/image/talabat-staging/restaurants/logo_pepsi.png,Pepsi,2,9,2,false,true,20% off up to KD 1.00 discount,20% off up to KD 1.00 discount,0,0,false,,0,false,false,false,true,62,32,27,623,628,29,100002,53,0,0,1,false,false,1,0,organic_placements,cpc,UCxSl6v1QsGJA429n0jp3h8dao86JHr7aHLtgGa64ymxN0TvCDJDk7NL4TsFrJmVUpFwtJL6QFSK0rKRQVJxKMZR2ZpY2ICSHMkL9g7lQ61+hO1gdVIPpV8TjcQT86DCt+xwV7RMzoIP5vyU+9r7OZuQv6G7I3BY/BWQtFkBzZ9PEUIhCKnP+tILWb0/mmXPL/W1qCZx5mTlsjE=,1.543,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3859,0,Sheeatha_635889011179815658.jpg,Sheeatha,7748,"Sheeatha, Hawally",sheeatha-hawally,0,0,4.4,Very good,true,2,0,90,Within 90 mins,90 - 100 mins,true,true,false,false,false,false,false,false,false,Open,0.5,0,0,0,0,0,0,sheeatha,,,22,Desserts,,,,,Desserts,,,,,true,3,,01/18/2016 23:01:28,,0,85 ratings,85,,true,143,,,false,false,false,false,false,false,false,autohero_Desserts_5.jpg,48.032667,29.334861,false,false,false,,,,0,7,2,false,false,,,0,0,false,,0,false,false,false,true,62,32,28,100003,100004,53,,,0,0,1,false,false,3,0,organic_placements,cpc,r8qnC3VfgcxrnxFZ9OMZaG6K2WNNnhY83zKYUSWHb1AwJk6nDIn24gSuTtpEFRBKB7xnNvoKoudEO6Y7KmsJWy5EreFkFFcdAIlqW26pn4IKwaojgFe64O3uKgjB+/z5/6OFsr2g7GZotkoDfEC0kvrEebIrIXhsitKe8itUkLB0IN8TcSLGX1bKPrUIDP0SnxBivlnbJl6Z2l8=,3.759,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,Maki_634885279609339825.jpg,Maki,100,"Maki, Kuwait City",maki-kuwait-city,0,0,1.2,Normal,true,0,1,75,Within 75 mins,75 - 85 mins,true,true,false,false,true,true,false,false,false,Open,0.5,0,0,0,0,0,0,makitest,,,1,Japanese,,397,Asian,,"Japanese, Asian",,,,,true,3,,06/01/2020 00:00:00,,0,2 ratings,2,,false,143,,,false,false,false,false,false,true,false,100144256299479453_636421960719229294.jpg,47.97972,29.3621,true,false,true,,https://images.deliveryhero.io/image/talabat/restaurants/logo_pepsi.png,Pepsi,2,4,1,false,true,20% OFF orders above KD 15.00,20% OFF orders above KD 15.00,0,0,true,Free Chili Crazy Mame Maki (6 Pcs) with orders over KD 10.00,1,false,false,false,false,62,32,27,623,628,28,46,53,0,0,1,false,false,3,0,,,,9.955,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,shay-wa-nanENG_634958306828204921.png,Shay W Nanaa,44,"Shay W Nanaa, Kuwait City",shay-w-nanaa-kuwait-city,0,0,1.5,Normal,true,0,8,60,Within 60 mins,60 - 70 mins,true,true,true,false,false,false,false,false,false,Open,0.3,0,0,0,0,0,0,shay-w-nanaa,,,12,Sandwiches,,13,Pizzas,,"Sandwiches, Pizzas, Burgers, Breakfast",,,,,false,0,,10/23/2018 08:24:57,,0,1 rating,1 rating,,false,143,,,false,false,false,true,false,false,false,autohero_Sandwiches_1.jpg,47.9792,29.3746,false,false,false,,,,0,4,1,false,false,,,0,0,false,,0,false,false,false,false,62,28,29,100002,53,,,,0,0,1,false,false,0,0,,,,10.456,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,14,Burgers,,24,Breakfast,,,,,,,,,,,,,,,,,,,,,
30,0,zaatar-w-zeit_635419155616887787.jpg,Zaatar W Zeit,2341,"Zaatar W Zeit, Salmiya",zaatar-w-zeit-salmiya,0,0,0,Normal,true,0,2.95,75,Within 75 mins,75 - 85 mins,true,true,true,false,false,false,false,false,false,Open,0.5,0,0,0,0,0,0,zaatar-w-zeit,,,12,Sandwiches,,24,Breakfast,,"Sandwiches, Breakfast, Lebanese",,,,,false,0,,10/23/2018 08:24:57,,0,No rating,No rating,,false,143,,,false,false,false,false,false,false,false,autohero_Sandwiches_10.jpg,48.077222,29.343889,false,false,false,,,,0,9,2,false,true,20% OFF orders above KD 250.00,20% OFF orders above KD 250.00,0,1,false,,0,false,false,false,false,62,28,29,,,,,,0,0,1,false,false,3,0,,,,1.339,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,3,Lebanese,,,,,,,,,,,,,,,,,,,,,,,,
47,0,Pastamania_635_635804331169484984.jpg,Pastamania,9021,"Pastamania, Salmiya",pastamania-salmiya,0,0,3.4,Good,true,1,0,76,Within 76 mins,75 - 85 mins,true,true,true,false,true,true,false,false,false,Open,0,0,0,0,0,0,0,pastamania,,,4,Italian,,13,Pizzas,,"Italian, Pizzas, International",,,,,false,0,,05/09/2016 22:14:52,,0,51 ratings,51,,false,143,,,false,false,false,true,true,true,false,autohero_Italian_8.jpg,48.06571199999996,29.338617,true,true,false,,,Coka,1,9,2,false,true,12% OFF orders above KD 12.00,12% OFF orders above KD 12.00,0,2,true,Free Margherita Small  with orders over KD 10.00,1,false,false,false,true,62,27,623,628,26,28,29,100001,0,0,1,false,false,2,0,,,,0.068,true,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,396,International,,,,,100002,100004,53,,,,,,,,,,,,,,,,,
66,0,mcdonalds_PNG16_637159055853731537.png,McDonald's,171,McDonalds,mcdonalds,0,0,3.5,Good,true,1,5,60,Within 60 mins,60 - 70 mins,true,true,true,false,true,false,false,false,false,Open,1.5,0,0,0,0,0,0,ice-cream-world,,,22,Desserts,,,,,Desserts,,,,,false,0,,10/23/2018 08:24:57,,0,6 ratings,6,,false,143,,,false,false,false,false,false,true,false,autohero_Desserts_2.jpg,48.0400646,29.3363004,false,false,false,,,,0,33,2,false,true,KD 2.00 OFF orders above KD 8.00,KD 2.00 OFF orders above KD 8.00,0,1,false,,0,false,false,false,false,62,27,623,628,28,29,100002,53,0,0,1,false,false,0,0,,,,2.926,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,SBARRO-Eng_635285190589060986.jpg,Sbarro,5920,"Sbarro, Salmiya",sbarro-salmiya,0,0,3.5,Good,true,1,0,75,Within 75 mins,75 - 85 mins,true,false,false,false,false,false,false,false,false,Open,0.5,0,0,0,0,0,0,sbarro,,,4,Italian,,13,Pizzas,,"Italian, Pizzas",,,,,false,0,,02/25/2014 00:00:00,,0,178 ratings,178,,false,143,,,false,false,false,true,false,true,false,autohero_Italian_3.jpg,48.07392,29.3419,false,false,false,,,,0,9,2,false,false,,,0,0,false,,0,false,false,false,true,62,100002,100004,,,,,,0,0,1,false,false,1,0,,,,0.914,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0,Caribou-Coffee_635645174226172342.jpg,Caribou Coffee,7720,"Caribou Coffee, Salmiya",caribou-coffee-salmiya,0,0,3.8,Very good,true,2,2.5,60,Within 60 mins,60 - 70 mins,true,false,true,false,true,true,false,false,false,Open,0.25,0,0,0,0,0,0,caribou-coffee,,,15,Cafe,,51,Frozen Yogurt,,"Cafe, Frozen Yogurt, Shawarma & Doner",,,,,false,0,,01/18/2016 01:23:25,,0,35 ratings,35,,false,143,,,false,false,false,false,false,false,false,autohero_Cafe_7.jpg,48.080039,29.32812,false,false,false,,,,0,9,2,false,true,25% OFF orders above KD 20.00,25% OFF orders above KD 20.00,0,1,false,,0,false,false,false,true,62,27,623,628,29,100002,100003,,0,0,1,false,false,2,0,,,,1.927,false,false,0,false,false,11,1,1,1,4,141,,false,false,false,,9999,332,Shawarma & Doner,,,,,,,,,,,,,,,,,,,,,,,,
284,0,Nino_635366969103422868.jpg,NINO,7641,"NINO, Salmiya",nino-salmiya,0,0,3.7,Good,true,1,2.75,5,Within 5 mins,5 - 15 mins,true,true,true,false,false,false,false,false,false,Open,0.5,0,0,0,0,0,0,nino,,,4,Italian,,13,Pizzas,,"Italian, Pizzas, International",Delivery service 1,,,,false,0,,01/12/2016 01:42:56,,10,141 ratings,141,,false,143,,,false,false,false,false,false,false,false,autohero_Italian_2.jpg,48.077222,29.343889,false,false,false,,,,0,9,2,false,false,,,0,0,false,,0,false,false,false,true,62,36,28,29,100000,53,,,1,1,2,false,false,3,0,,,,1.339,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,396,International,,,,,,,,,,,,,,,,,,,,,,,,
